date	sentiment	detailSentiment	subjectivity	detailSubjectivity	numWords	numSentences	numNouns
2017-11-28	neutral	neutral	neutral	neutral	18	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	21	3	3
2017-11-28	positive	positive	neutral	neutral	17	4	4
2017-11-28	neutral	neutral	objective	veryobjective	22	4	4
2017-11-28	neutral	neutral	objective	veryobjective	22	4	4
2017-11-28	neutral	neutral	objective	veryobjective	22	4	4
2017-11-28	positive	positive	objective	objective	16	4	4
2017-11-28	positive	positive	objective	objective	16	4	4
2017-11-28	neutral	neutral	objective	veryobjective	19	5	5
2017-11-28	neutral	neutral	objective	veryobjective	2	1	1
2017-11-28	neutral	neutral	objective	veryobjective	18	3	3
2017-11-28	neutral	neutral	objective	objective	22	6	6
2017-11-28	neutral	neutral	objective	objective	40	7	7
2017-11-28	neutral	neutral	subjective	subjective	21	5	5
2017-11-28	neutral	neutral	objective	veryobjective	9	2	2
2017-11-28	neutral	neutral	neutral	neutral	35	8	8
2017-11-28	positive	positive	subjective	subjective	3	1	1
2017-11-28	neutral	neutral	objective	veryobjective	19	3	3
2017-11-28	neutral	neutral	objective	veryobjective	21	3	3
2017-11-28	positive	positive	neutral	neutral	17	4	4
2017-11-28	neutral	neutral	neutral	neutral	20	4	4
2017-11-28	neutral	neutral	neutral	neutral	28	4	4
2017-11-28	neutral	neutral	objective	veryobjective	20	4	4
2017-11-28	neutral	neutral	objective	veryobjective	15	3	3
2017-11-28	neutral	neutral	objective	veryobjective	15	3	3
2017-11-28	neutral	neutral	objective	objective	22	2	2
2017-11-28	neutral	neutral	objective	objective	12	2	2
2017-11-28	neutral	neutral	objective	veryobjective	30	3	3
2017-11-28	positive	positive	subjective	subjective	19	3	3
2017-11-28	neutral	neutral	objective	veryobjective	33	7	7
2017-11-28	neutral	neutral	objective	veryobjective	10	5	5
2017-11-28	neutral	neutral	objective	veryobjective	10	4	4
2017-11-28	neutral	neutral	neutral	neutral	15	2	2
2017-11-28	neutral	neutral	objective	veryobjective	16	4	4
2017-11-28	neutral	neutral	objective	objective	21	4	4
2017-11-28	neutral	neutral	neutral	neutral	25	5	5
2017-11-28	neutral	neutral	objective	veryobjective	37	10	10
2017-11-28	neutral	neutral	objective	veryobjective	36	9	9
2017-11-28	neutral	neutral	neutral	neutral	28	7	7
2017-11-28	neutral	neutral	objective	veryobjective	24	6	6
2017-11-28	neutral	neutral	objective	objective	40	8	8
2017-11-28	negative	negative	objective	objective	11	3	3
2017-11-28	neutral	neutral	objective	objective	45	9	9
2017-11-28	neutral	neutral	neutral	neutral	32	4	4
2017-11-28	neutral	neutral	objective	veryobjective	14	4	4
2017-11-28	neutral	neutral	neutral	neutral	46	7	7
2017-11-28	neutral	neutral	objective	veryobjective	40	7	7
2017-11-28	neutral	neutral	objective	veryobjective	26	7	7
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	neutral	neutral	43	6	6
2017-11-28	neutral	neutral	objective	veryobjective	21	3	3
2017-11-28	neutral	neutral	objective	veryobjective	18	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	44	9	9
2017-11-28	neutral	neutral	subjective	verysubjective	27	6	6
2017-11-28	positive	positive	subjective	subjective	25	4	4
2017-11-28	positive	positive	subjective	subjective	49	6	6
2017-11-28	neutral	neutral	objective	veryobjective	20	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	neutral	neutral	16	4	4
2017-11-28	neutral	neutral	objective	veryobjective	15	5	5
2017-11-28	positive	positive	subjective	verysubjective	44	7	7
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	17	5	5
2017-11-28	neutral	neutral	objective	veryobjective	16	8	8
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	objective	veryobjective	20	5	5
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	objective	veryobjective	28	9	9
2017-11-28	neutral	neutral	objective	veryobjective	61	17	17
2017-11-28	neutral	neutral	neutral	neutral	21	4	4
2017-11-28	neutral	neutral	objective	veryobjective	18	6	6
2017-11-28	positive	positive	neutral	neutral	24	6	6
2017-11-28	positive	positive	subjective	verysubjective	47	6	6
2017-11-28	neutral	neutral	objective	objective	37	10	10
2017-11-28	positive	positive	neutral	neutral	14	4	4
2017-11-28	positive	verypositive	objective	objective	23	5	5
2017-11-28	positive	positive	neutral	neutral	22	6	6
2017-11-28	neutral	neutral	neutral	neutral	9	2	2
2017-11-28	neutral	neutral	subjective	subjective	19	6	6
2017-11-27	neutral	neutral	objective	veryobjective	13	4	4
2017-11-27	neutral	neutral	neutral	neutral	43	11	11
2017-11-27	positive	verypositive	subjective	subjective	39	6	6
2017-11-27	neutral	neutral	objective	veryobjective	9	3	3
2017-11-27	neutral	neutral	objective	veryobjective	21	5	5
2017-11-27	neutral	neutral	objective	veryobjective	21	5	5
2017-11-27	neutral	neutral	subjective	subjective	23	3	3
2017-11-27	neutral	neutral	objective	veryobjective	9	3	3
2017-11-27	neutral	neutral	objective	objective	25	5	5
2017-11-27	neutral	neutral	objective	objective	25	5	5
2017-11-27	neutral	neutral	objective	veryobjective	15	3	3
2017-11-27	neutral	neutral	neutral	neutral	36	3	3
2017-11-27	neutral	neutral	objective	veryobjective	30	3	3
2017-11-27	neutral	neutral	subjective	verysubjective	30	7	7
2017-11-27	negative	negative	objective	objective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	16	4	4
2017-11-27	neutral	neutral	objective	objective	48	6	6
2017-11-27	neutral	neutral	subjective	verysubjective	11	2	2
2017-11-27	neutral	neutral	objective	veryobjective	35	3	3
2017-11-27	neutral	neutral	objective	veryobjective	22	6	6
2017-11-27	neutral	neutral	objective	veryobjective	18	2	2
2017-11-27	negative	negative	objective	objective	30	6	6
2017-11-27	positive	positive	neutral	neutral	23	3	3
2017-11-27	negative	verynegative	subjective	subjective	27	7	7
2017-11-27	negative	negative	objective	objective	6	1	1
2017-11-27	positive	verypositive	subjective	subjective	17	3	3
2017-11-27	positive	positive	subjective	subjective	25	7	7
2017-11-27	positive	verypositive	subjective	verysubjective	10	3	3
2017-11-27	neutral	neutral	objective	objective	18	7	7
2017-11-27	neutral	neutral	objective	veryobjective	37	6	6
2017-11-27	positive	verypositive	subjective	verysubjective	10	3	3
2017-11-27	positive	verypositive	subjective	verysubjective	13	5	5
2017-11-27	positive	positive	objective	objective	28	3	3
2017-11-27	positive	verypositive	subjective	verysubjective	10	3	3
2017-11-27	neutral	neutral	objective	objective	27	6	6
2017-11-27	positive	positive	neutral	neutral	28	4	4
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	positive	positive	subjective	subjective	37	6	6
2017-11-27	neutral	neutral	objective	veryobjective	17	5	5
2017-11-27	positive	positive	subjective	subjective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	20	6	6
2017-11-27	positive	positive	neutral	neutral	11	3	3
2017-11-27	neutral	neutral	objective	veryobjective	20	4	4
2017-11-27	positive	positive	subjective	subjective	57	8	8
2017-11-27	positive	positive	neutral	neutral	30	5	5
2017-11-27	positive	positive	objective	objective	58	8	8
2017-11-27	neutral	neutral	objective	veryobjective	17	6	6
2017-11-27	positive	positive	subjective	subjective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	25	7	7
2017-11-27	neutral	neutral	neutral	neutral	11	4	4
2017-11-27	positive	positive	neutral	neutral	18	4	4
2017-11-27	positive	positive	neutral	neutral	14	4	4
2017-11-27	positive	positive	neutral	neutral	14	4	4
2017-11-27	positive	positive	neutral	neutral	14	4	4
2017-11-27	neutral	neutral	objective	veryobjective	27	4	4
2017-11-27	neutral	neutral	objective	veryobjective	15	3	3
2017-11-27	neutral	neutral	objective	veryobjective	23	6	6
2017-11-27	neutral	neutral	objective	objective	21	3	3
2017-11-27	neutral	neutral	objective	veryobjective	25	4	4
2017-11-27	positive	positive	neutral	neutral	21	5	5
2017-11-27	positive	positive	neutral	neutral	13	4	4
2017-11-27	positive	positive	neutral	neutral	31	8	8
2017-11-27	neutral	neutral	objective	veryobjective	36	6	6
2017-11-27	positive	positive	neutral	neutral	11	3	3
2017-11-27	neutral	neutral	objective	veryobjective	17	5	5
2017-11-27	neutral	neutral	objective	veryobjective	16	4	4
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	positive	positive	objective	objective	22	4	4
2017-11-27	neutral	neutral	objective	veryobjective	30	5	5
2017-11-27	neutral	neutral	objective	veryobjective	47	3	3
2017-11-27	neutral	neutral	objective	objective	11	5	5
2017-11-27	neutral	neutral	subjective	subjective	50	5	5
2017-11-27	neutral	neutral	objective	veryobjective	28	4	4
2017-11-27	neutral	neutral	objective	veryobjective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	14	3	3
2017-11-27	neutral	neutral	objective	veryobjective	15	4	4
2017-11-27	neutral	neutral	objective	veryobjective	18	5	5
2017-11-27	neutral	neutral	objective	veryobjective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	17	5	5
2017-11-27	neutral	neutral	objective	veryobjective	17	5	5
2017-11-27	neutral	neutral	objective	veryobjective	14	3	3
2017-11-27	neutral	neutral	objective	veryobjective	17	4	4
2017-11-27	neutral	neutral	objective	veryobjective	15	3	3
2017-11-27	neutral	neutral	objective	veryobjective	17	4	4
2017-11-27	neutral	neutral	neutral	neutral	24	3	3
2017-11-27	neutral	neutral	neutral	neutral	25	5	5
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	neutral	neutral	objective	veryobjective	13	3	3
2017-11-27	neutral	neutral	objective	veryobjective	18	3	3
2017-11-26	positive	positive	subjective	subjective	23	5	5
2017-11-26	neutral	neutral	objective	veryobjective	21	5	5
2017-11-26	neutral	neutral	objective	veryobjective	18	6	6
2017-11-26	neutral	neutral	objective	veryobjective	11	4	4
2017-11-26	neutral	neutral	objective	objective	34	4	4
2017-11-26	neutral	neutral	neutral	neutral	17	4	4
2017-11-26	neutral	neutral	objective	veryobjective	10	2	2
2017-11-26	neutral	neutral	subjective	subjective	22	4	4
2017-11-26	neutral	neutral	objective	veryobjective	10	2	2
2017-11-26	neutral	neutral	objective	veryobjective	22	5	5
2017-11-26	neutral	neutral	objective	veryobjective	14	4	4
2017-11-26	neutral	neutral	objective	veryobjective	16	4	4
2017-11-26	neutral	neutral	objective	veryobjective	22	6	6
2017-11-26	negative	negative	objective	objective	17	4	4
2017-11-26	neutral	neutral	objective	veryobjective	37	5	5
2017-11-26	neutral	neutral	objective	veryobjective	26	6	6
2017-11-26	neutral	neutral	neutral	neutral	26	4	4
2017-11-26	neutral	neutral	neutral	neutral	20	3	3
2017-11-26	neutral	neutral	objective	veryobjective	17	3	3
2017-11-26	neutral	neutral	objective	veryobjective	17	5	5
2017-11-26	neutral	neutral	neutral	neutral	46	8	8
2017-11-26	neutral	neutral	objective	veryobjective	12	5	5
2017-11-26	neutral	neutral	objective	veryobjective	12	4	4
2017-11-26	neutral	neutral	objective	veryobjective	15	7	7
2017-11-26	neutral	neutral	objective	veryobjective	15	7	7
2017-11-26	neutral	neutral	objective	veryobjective	11	4	4
2017-11-26	neutral	neutral	objective	veryobjective	11	4	4
2017-11-26	neutral	neutral	objective	veryobjective	16	7	7
2017-11-26	neutral	neutral	objective	veryobjective	14	6	6
2017-11-26	neutral	neutral	objective	veryobjective	12	5	5
2017-11-26	neutral	neutral	objective	veryobjective	13	4	4
2017-11-26	positive	positive	objective	objective	18	5	5
2017-11-26	neutral	neutral	objective	veryobjective	20	3	3
2017-11-26	neutral	neutral	objective	veryobjective	13	4	4
2017-11-26	positive	positive	subjective	subjective	27	3	3
2017-11-26	neutral	neutral	objective	veryobjective	15	3	3
2017-11-26	neutral	neutral	objective	veryobjective	23	6	6
2017-11-26	neutral	neutral	objective	veryobjective	18	6	6
2017-11-26	neutral	neutral	objective	veryobjective	19	4	4
2017-11-26	neutral	neutral	objective	objective	21	3	3
2017-11-26	neutral	neutral	objective	objective	17	4	4
2017-11-26	neutral	neutral	objective	veryobjective	18	3	3
2017-11-26	positive	positive	neutral	neutral	27	4	4
2017-11-26	neutral	neutral	objective	objective	17	5	5
2017-11-26	neutral	neutral	objective	objective	17	5	5
2017-11-26	neutral	neutral	objective	objective	17	5	5
2017-11-26	neutral	neutral	objective	objective	17	5	5
2017-11-26	neutral	neutral	objective	veryobjective	19	4	4
2017-11-26	neutral	neutral	neutral	neutral	29	5	5
2017-11-26	neutral	neutral	objective	veryobjective	15	4	4
2017-11-26	neutral	neutral	objective	veryobjective	15	4	4
2017-11-26	neutral	neutral	objective	veryobjective	31	3	3
2017-11-26	positive	positive	subjective	subjective	43	4	4
2017-11-26	neutral	neutral	objective	veryobjective	16	4	4
2017-11-26	neutral	neutral	objective	veryobjective	16	4	4
2017-11-26	neutral	neutral	objective	veryobjective	14	3	3
2017-11-26	neutral	neutral	objective	veryobjective	12	6	6
2017-11-26	neutral	neutral	objective	objective	49	8	8
2017-11-26	neutral	neutral	objective	veryobjective	8	4	4
2017-11-26	neutral	neutral	objective	veryobjective	13	3	3
2017-11-26	neutral	neutral	objective	veryobjective	25	3	3
2017-11-26	neutral	neutral	objective	veryobjective	17	3	3
2017-11-26	neutral	neutral	objective	veryobjective	18	4	4
2017-11-26	neutral	neutral	objective	veryobjective	15	3	3
2017-11-26	neutral	neutral	objective	veryobjective	15	4	4
2017-11-26	neutral	neutral	objective	veryobjective	14	4	4
2017-11-26	neutral	neutral	objective	veryobjective	15	3	3
2017-11-26	neutral	neutral	objective	veryobjective	18	4	4
2017-11-26	positive	positive	objective	objective	15	3	3
2017-11-26	neutral	neutral	neutral	neutral	17	5	5
2017-11-26	neutral	neutral	objective	veryobjective	16	4	4
2017-11-26	neutral	neutral	objective	veryobjective	17	3	3
2017-11-26	neutral	neutral	objective	veryobjective	10	5	5
2017-11-26	neutral	neutral	objective	veryobjective	19	3	3
2017-11-26	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	veryobjective	13	3	3
2017-11-25	neutral	neutral	objective	veryobjective	13	3	3
2017-11-25	neutral	neutral	objective	veryobjective	13	3	3
2017-11-25	neutral	neutral	objective	veryobjective	29	6	6
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	veryobjective	29	6	6
2017-11-25	neutral	neutral	objective	veryobjective	29	6	6
2017-11-25	neutral	neutral	objective	veryobjective	32	6	6
2017-11-25	neutral	neutral	objective	veryobjective	59	13	13
2017-11-25	neutral	neutral	objective	veryobjective	10	1	1
2017-11-25	neutral	neutral	objective	veryobjective	6	2	2
2017-11-25	negative	negative	subjective	verysubjective	11	4	4
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	negative	negative	objective	objective	17	4	4
2017-11-25	neutral	neutral	objective	veryobjective	9	3	3
2017-11-25	neutral	neutral	objective	veryobjective	12	2	2
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	subjective	subjective	23	3	3
2017-11-25	neutral	neutral	objective	veryobjective	7	2	2
2017-11-25	neutral	neutral	objective	veryobjective	18	3	3
2017-11-25	neutral	neutral	objective	objective	30	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	veryobjective	20	4	4
2017-11-25	positive	positive	neutral	neutral	19	3	3
2017-11-25	negative	negative	objective	objective	12	1	1
2017-11-25	neutral	neutral	subjective	verysubjective	16	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	positive	verypositive	subjective	subjective	9	3	3
2017-11-25	neutral	neutral	objective	veryobjective	23	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	subjective	verysubjective	16	3	3
2017-11-25	neutral	neutral	subjective	verysubjective	17	2	2
2017-11-25	neutral	neutral	objective	veryobjective	31	3	3
2017-11-25	neutral	neutral	objective	veryobjective	13	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	objective	15	4	4
2017-11-25	neutral	neutral	objective	veryobjective	15	4	4
2017-11-25	neutral	neutral	objective	veryobjective	15	4	4
2017-11-25	neutral	neutral	objective	objective	23	3	3
2017-11-25	neutral	neutral	objective	veryobjective	11	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
2017-11-25	neutral	neutral	objective	veryobjective	16	5	5
2017-11-25	neutral	neutral	objective	veryobjective	19	4	4
2017-11-25	neutral	neutral	objective	veryobjective	23	6	6
2017-11-25	positive	positive	neutral	neutral	22	3	3
2017-11-25	neutral	neutral	objective	veryobjective	17	3	3
